Provider,Category,Internal ID (Rust),API Model ID,Display Name,Context Window,Input ($/1M tokens),Output ($/1M tokens),Cached ($/1M tokens),Per Unit Price,Price Unit,RPM,Margin,Route,Notes
# ── xAI (30% margin) ────────────────────────────────────────────────────────
xAI,Text,—,grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,2M,$0.20,$0.50,$0.05,—,—,480,1.30,direct,Core — always available; reasoning mode; >200k: $0.40/$1.00 input/output; aliases: grok-4-1-fast, grok-4-1-fast-reasoning-latest
xAI,Text,—,grok-4-1-fast-non-reasoning,Grok 4.1 Fast,2M,$0.20,$0.50,$0.05,—,—,480,1.30,direct,Core — always available; sub-agent default; >200k: $0.40/$1.00 input/output; alias: grok-4-1-fast-non-reasoning-latest
xAI,Text,—,grok-4.20-multi-agent-beta-0309,Grok 4.20 Multi-Agent,2M,$2.00,$6.00,$0.20,—,—,607,1.30,direct,Multi-agent variant; >200k: $4.00/$12.00 input/output, $0.20 cached
xAI,Text,—,grok-4.20-beta-0309-reasoning,Grok 4.20 Reasoning,2M,$2.00,$6.00,$0.20,—,—,607,1.30,direct,Reasoning mode; >200k: $4.00/$12.00 input/output, $0.20 cached
xAI,Text,—,grok-4.20-beta-0309-non-reasoning,Grok 4.20 Fast,2M,$2.00,$6.00,$0.20,—,—,607,1.30,direct,Non-reasoning; >200k: $4.00/$12.00 input/output, $0.20 cached
xAI,Text,—,grok-code-fast-1,Grok Code Fast,256K,$0.20,$1.50,—,—,—,480,1.30,direct,Core — always available
xAI,Image,xai_imagine_pro,grok-imagine-image-pro,Imagine Pro,—,—,—,—,$0.07,per image,30,1.30,direct,Core
xAI,Image,xai_imagine,grok-imagine-image,Imagine,—,—,—,—,$0.02,per image,300,1.30,direct,Core
# xAI,Image,xai,grok-2-image-1212,Grok 2 Image,—,—,—,—,$0.07,per image,300,1.30,direct,RETIRED — 404 from xAI as of 2026-04-01
xAI,Video,grok_video,grok-imagine-video,Imagine Video,—,—,—,—,$0.05,per second,60,1.30,direct,Core
xAI,Structured,xai_grok_41_fast,grok-4-1-fast-non-reasoning,Grok 4.1 Fast (Structured),—,—,—,—,—,—,—,1.00,direct,Core; used in structured output panel
xAI,Structured,xai_grok_41_reasoning,grok-4-1-fast-reasoning,Grok 4.1 Reasoning (Structured),—,—,—,—,—,—,—,1.00,direct,Core; used in structured output panel
xAI,Structured,xai_grok_code,grok-code-fast-1,Grok Code (Structured),—,—,—,—,—,—,—,1.00,direct,Core; used in structured output panel
# Grok via Vertex AI Model Garden (MaaS — OpenAI-compat endpoint, GCP token auth)
xAI,Text,—,xai/grok-4.20-non-reasoning,Grok 4.20 (Vertex),2M,$2.00,$6.00,$0.20,—,—,607,1.30,vertex-maas,Vertex Model Garden publishers/xai/models/grok-4.20-non-reasoning; flagship non-reasoning
xAI,Text,—,xai/grok-4.20-reasoning,Grok 4.20 Reasoning (Vertex),2M,$2.00,$6.00,$0.20,—,—,607,1.30,vertex-maas,Vertex Model Garden publishers/xai/models/grok-4.20-reasoning; flagship reasoning mode
xAI,Text,—,xai/grok-4.1-fast-non-reasoning,Grok 4.1 Fast (Vertex),2M,$0.20,$0.50,$0.05,—,—,480,1.30,vertex-maas,Vertex Model Garden publishers/xai/models/grok-4.1-fast-non-reasoning; cost-effective; agentic tool calling
xAI,Text,—,xai/grok-4.1-fast-reasoning,Grok 4.1 Fast Reasoning (Vertex),2M,$0.20,$0.50,$0.05,—,—,480,1.30,vertex-maas,Vertex Model Garden publishers/xai/models/grok-4.1-fast-reasoning; cost-effective reasoning; τ²-bench Telecom
# ── OpenAI (25% margin; requires openai pack) ─────────────────────────────────
# Note: All OpenAI text models support Flex/Batch tier (0.5× price) and Priority tier (2× price)
OpenAI,Text,—,gpt-5.4,GPT-5.4,1M,$2.50,$15.00,$0.25,—,—,500,1.25,cloud-run-egress,Reasoning model; >272K: $5.00/$22.50 input/output; drop-in replacement for gpt-5.2
OpenAI,Text,—,gpt-5.4-pro,GPT-5.4 Pro,1M,$30.00,$180.00,—,—,—,500,1.25,cloud-run-egress,>272K: $60.00/$270.00 input/output
OpenAI,Text,—,gpt-5.4-mini,GPT-5.4 Mini,400K,$0.75,$4.50,$0.075,—,—,500,1.25,cloud-run-egress,128K max output; cutoff Aug 31 2025
OpenAI,Text,—,gpt-5.4-nano,GPT-5.4 Nano,400K,$0.20,$1.25,$0.02,—,—,500,1.25,cloud-run-egress,Cheapest GPT-5.4 class; 128K max output; cutoff Aug 31 2025
OpenAI,Text,—,gpt-5.2,GPT-5.2,1M,$1.75,$14.00,$0.175,—,—,500,1.25,cloud-run-egress,
OpenAI,Text,—,gpt-5.3-chat-latest,GPT-5.3 Chat,1M,$1.75,$14.00,$0.175,—,—,500,1.25,cloud-run-egress,
OpenAI,Text,—,gpt-5.2-codex,GPT-5.2 Codex,1M,$1.75,$14.00,$0.175,—,—,500,1.25,cloud-run-egress,Code-optimised variant
OpenAI,Text,—,gpt-5.3-codex,GPT-5.3 Codex,1M,$1.75,$14.00,$0.175,—,—,500,1.25,cloud-run-egress,Code-optimised variant
OpenAI,Text,—,gpt-5.2-pro,GPT-5.2 Pro,1M,$21.00,$168.00,—,—,—,500,1.25,cloud-run-egress,
OpenAI,Text,—,gpt-5,GPT-5,1M,$1.25,$10.00,$0.125,—,—,500,1.25,cloud-run-egress,
OpenAI,Text,—,gpt-5-codex,GPT-5 Codex,1M,$1.25,$10.00,$0.125,—,—,500,1.25,cloud-run-egress,Code-optimised variant
OpenAI,Text,—,gpt-5.1-codex,GPT-5.1 Codex,1M,$1.25,$10.00,$0.125,—,—,500,1.25,cloud-run-egress,Code-optimised variant
OpenAI,Text,—,gpt-5.1-codex-max,GPT-5.1 Codex Max,1M,$1.25,$10.00,$0.125,—,—,500,1.25,cloud-run-egress,Code-optimised variant; extended
OpenAI,Text,—,gpt-5-pro,GPT-5 Pro,1M,$15.00,$120.00,—,—,—,500,1.25,cloud-run-egress,
OpenAI,Text,—,gpt-5-mini,GPT-5 Mini,1M,$0.25,$2.00,$0.025,—,—,10000,1.25,cloud-run-egress,
OpenAI,Text,—,gpt-5-nano,GPT-5 Nano,1M,$0.05,$0.40,$0.005,—,—,30000,1.25,cloud-run-egress,
OpenAI,Image,openai_dalle3,dall-e-3,DALL-E 3,—,—,—,—,$0.04,per image,50,1.25,cloud-run-egress,1024×1024: std $0.04/HD $0.08; 1024×1792/1792×1024: std $0.08/HD $0.12
OpenAI,Image,openai_gpt_image1_mini,gpt-image-1-mini,GPT-Image 1 Mini,—,$2.00,$8.00,$0.20,—,—,50,1.25,cloud-run-egress,Token-based; cost-effective option; ~55-78% cheaper than GPT-Image 1
OpenAI,Image,openai_gpt_image1,gpt-image-1,GPT-Image 1,—,$10.00,$40.00,$2.50,—,—,50,1.25,cloud-run-egress,Token-based; 1024²: low $0.011/med $0.042/high $0.167; 1024×1536: low $0.016/med $0.063/high $0.25
OpenAI,Image,openai_gpt_image15,gpt-image-1.5,GPT-Image 1.5,—,$8.00,$32.00,$2.00,—,—,50,1.25,cloud-run-egress,Token-based; 1024²: low $0.009/med $0.034/high $0.133; 1024×1536: low $0.013/med $0.05/high $0.20
OpenAI,Image,openai_chatgpt_image,chatgpt-image-latest,ChatGPT Image,—,$8.00,$32.00,$2.00,—,—,50,1.25,cloud-run-egress,Token-based; same pricing as GPT-Image 1.5; alias for gpt-image-1.5
OpenAI,Image Edit,gpt_image,gpt-image-1,GPT-Image Edit,—,$10.00,$40.00,$2.50,—,—,50,1.25,cloud-run-egress,Image editing in editor view; token-based; same tiers as GPT-Image 1
OpenAI,Video,sora,sora-2,Sora 2,—,—,—,—,$0.10,per second,10,1.25,cloud-run-egress,720p default
OpenAI,Video,sora_pro,sora-2-pro,Sora 2 Pro,—,—,—,—,$0.30,per second,10,1.25,cloud-run-egress,720p $0.30/s; 1024×1792/1792×1024 $0.50/s
OpenAI,TTS,openai_tts,openai-tts-1,TTS-1,—,—,—,—,$15.00,per 1M chars,50,1.25,cloud-run-egress,Standard quality
OpenAI,TTS,openai_tts_hd,openai-tts-1-hd,TTS-1 HD,—,—,—,—,$30.00,per 1M chars,50,1.25,cloud-run-egress,High quality
OpenAI,TTS,openai_gpt4o_tts,gpt-4o-mini-tts,GPT-4o Mini TTS,—,$0.60,$12.00,—,—,—,50,1.25,cloud-run-egress,Text input $0.60/1M; audio output $12.00/1M; ~$0.015/min
OpenAI,STT,whisper_1,whisper-1,Whisper-1,—,—,—,—,$0.006,per minute,50,1.25,cloud-run-egress,Speech to text
OpenAI,STT,openai_4o_transcribe,gpt-4o-transcribe,GPT-4o Transcribe,—,$6.00,$10.00,—,—,—,—,1.25,cloud-run-egress,Audio input $6.00/1M; text input $2.50/1M; text output $10.00/1M; ~$0.006/min
OpenAI,STT,openai_4o_transcribe_diarize,gpt-4o-transcribe-diarize,GPT-4o Transcribe Diarize,—,$6.00,$10.00,—,—,—,—,1.25,cloud-run-egress,Audio input $6.00/1M; text input $2.50/1M; text output $10.00/1M; ~$0.006/min; speaker diarization
OpenAI,STT,openai_4o_mini_transcribe,gpt-4o-mini-transcribe,GPT-4o Mini Transcribe,—,$3.00,$5.00,—,—,—,—,1.25,cloud-run-egress,Audio input $3.00/1M; text input $1.25/1M; text output $5.00/1M; ~$0.003/min
OpenAI,Realtime,openai_realtime,gpt-realtime,GPT Realtime,—,$32.00,$64.00,$0.40,—,—,—,1.25,cloud-run-egress,Bidirectional audio; token-based
OpenAI,Realtime,openai_realtime_15,gpt-realtime-1.5,GPT Realtime 1.5,—,$32.00,$64.00,$0.40,—,—,—,1.25,cloud-run-egress,Bidirectional audio; token-based
OpenAI,Realtime,openai_realtime_mini,gpt-realtime-mini,GPT Realtime Mini,—,$10.00,$20.00,$0.30,—,—,—,1.25,cloud-run-egress,Bidirectional audio; token-based
OpenAI,Realtime,openai_4o_realtime,gpt-4o-realtime-preview,GPT-4o Realtime,—,$40.00,$80.00,$2.50,—,—,—,1.25,cloud-run-egress,Bidirectional audio; token-based
OpenAI,Realtime,openai_4o_mini_realtime,gpt-4o-mini-realtime-preview,GPT-4o Mini Realtime,—,$10.00,$20.00,$0.30,—,—,—,1.25,cloud-run-egress,Bidirectional audio; token-based
OpenAI,Audio,openai_audio,gpt-audio,GPT Audio,—,$32.00,$64.00,—,—,—,—,1.25,cloud-run-egress,Audio input/output; token-based
OpenAI,Audio,openai_audio_15,gpt-audio-1.5,GPT Audio 1.5,—,$32.00,$64.00,—,—,—,—,1.25,cloud-run-egress,Audio input/output; token-based
OpenAI,Audio,openai_audio_mini,gpt-audio-mini,GPT Audio Mini,—,$10.00,$20.00,—,—,—,—,1.25,cloud-run-egress,Audio input/output; token-based
OpenAI,Audio,openai_4o_audio,gpt-4o-audio-preview,GPT-4o Audio,—,$40.00,$80.00,—,—,—,—,1.25,cloud-run-egress,Audio input/output; token-based
OpenAI,Audio,openai_4o_mini_audio,gpt-4o-mini-audio-preview,GPT-4o Mini Audio,—,$10.00,$20.00,—,—,—,—,1.25,cloud-run-egress,Audio input/output; token-based
OpenAI,Embedding,openai_embed_small,text-embedding-3-small,Text Embedding 3 Small,—,$0.02,—,—,—,—,—,1.25,cloud-run-egress,Batch: $0.01/1M
OpenAI,Embedding,openai_embed_large,text-embedding-3-large,Text Embedding 3 Large,—,$0.13,—,—,—,—,—,1.25,cloud-run-egress,Batch: $0.065/1M
OpenAI,Embedding,openai_embed_ada,text-embedding-ada-002,Text Embedding Ada 002,—,$0.10,—,—,—,—,—,1.25,cloud-run-egress,Legacy; batch: $0.05/1M
OpenAI,Structured,openai_structured,gpt-4o,GPT-4o Structured,—,—,—,—,—,—,—,1.00,cloud-run-egress,Used in structured output panel
# ── Google (25% margin; requires google pack) ─────────────────────────────────
Google,Text,—,gemini-2.5-pro,Gemini 2.5 Pro,1M,$1.25,$10.00,$0.125,—,—,360,1.25,google-genai,>200k: $2.50/$15.00/$0.25 per 1M
Google,Text,—,gemini-2.5-flash,Gemini 2.5 Flash,1M,$0.30,$2.50,$0.030,—,—,2000,1.25,google-genai,Audio input $1.00/1M; audio cached $0.10/1M
Google,Text,—,gemini-2.5-flash-lite,Gemini 2.5 Flash-Lite,1M,$0.10,$0.40,$0.010,—,—,—,1.25,google-genai,Audio input $0.30/1M; audio cached $0.03/1M; smallest/most cost-effective
Google,Text,—,gemini-3-flash-preview,Gemini 3 Flash Preview,1M,$0.50,$3.00,$0.05,—,—,2000,1.25,google-genai,Preview
Google,Text,—,gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,1M,$2.00,$12.00,$0.20,—,—,—,1.25,google-genai,Preview; >200k: $4/$18/$0.40 per 1M
Google,Text,—,gemini-3.1-pro-preview-customtools,Gemini 3.1 Pro Preview (Custom Tools),1M,$2.00,$12.00,$0.20,—,—,—,1.25,google-genai,Preview; custom tools variant; >200k: $4/$18/$0.40 per 1M
Google,Text,—,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite Preview,1M,$0.25,$1.50,$0.025,—,—,—,1.25,google-genai,Preview; most cost-efficient; high-volume agentic tasks
Google,Image,gemini_flash,gemini-2.5-flash-image,Nano Banana,—,$0.30,—,—,$0.039,per image,—,1.25,google-genai,Text/image input $0.30/1M; image output $30/1M tokens ($0.039 per 1024px image); Preview
Google,Image,gemini_flash_2,gemini-3.1-flash-image-preview,Nano Banana 2,—,$0.50,$3.00,—,$0.067,per image,—,1.25,google-genai,Text/image input $0.50/1M; text output $3/1M; image output $60/1M tokens ($0.067 per 1K image); Preview
Google,Image,gemini_pro,gemini-3-pro-image-preview,Nano Banana Pro,—,$2.00,$12.00,—,$0.134,per image,—,1.25,google-genai,Text/image input $2/1M; text/thinking output $12/1M; image output $120/1M tokens ($0.134 per 1K/2K image); Preview
Google,Image,google_genai_fast,imagen-4.0-fast-generate-001,Imagen 4 Fast,—,—,—,—,$0.02,per image,—,1.25,google-genai,Via GenAI SDK
Google,Image,google_genai,imagen-4.0-generate-001,Imagen 4,—,—,—,—,$0.04,per image,—,1.25,google-genai,Via GenAI SDK; better text rendering + image quality
Google,Image,google_genai_ultra,imagen-4.0-ultra-generate-001,Imagen 4 Ultra,—,—,—,—,$0.06,per image,—,1.25,google-genai,Via GenAI SDK; highest quality
Google,Image Edit,gemini_flash_edit,gemini-2.5-flash-image,Nano Banana Edit,—,$0.30,—,—,$0.039,per image,—,1.25,google-genai,Text/image input $0.30/1M; image output $0.039 per 1024px image
Google,Image Edit,gemini_pro_edit,gemini-3-pro-image-preview,Nano Banana Pro Edit,—,$2.00,$12.00,—,$0.134,per image,—,1.25,google-genai,Text/image input $2/1M; image output $0.134 per 1K/2K image
Google,Video,veo_genai_31,veo-3.1-generate-preview,Veo 3.1,—,—,—,—,$0.40,per second,—,1.25,google-genai,Preview; 720p/1080p $0.40/s; 4K $0.60/s; audio included
Google,Video,veo_genai_31_fast,veo-3.1-fast-generate-preview,Veo 3.1 Fast,—,—,—,—,$0.15,per second,—,1.25,google-genai,Preview; 720p/1080p $0.15/s; 4K $0.35/s; audio included
Google,TTS,gemini_tts,gemini-2.5-flash-preview-tts,Gemini 2.5 Flash TTS,—,$0.50,$10.00,—,—,—,—,1.25,google-genai,Text input $0.50/1M; audio output $10.00/1M; Preview
Google,TTS,gemini_tts_pro,gemini-2.5-pro-preview-tts,Gemini 2.5 Pro TTS,—,$1.00,$20.00,—,—,—,—,1.25,google-genai,Text input $1.00/1M; audio output $20.00/1M; Preview
Google,Music,lyria,lyria-002,Lyria 2 (Batch),—,—,—,—,$0.06,per 30 seconds,—,1.25,google-genai,Batch generation
Google,Music,lyria_realtime,lyria-2-realtime,Lyria RealTime,—,—,—,—,$0.06,per 30 seconds,—,1.25,google-genai,Streaming music generation
Google,Embedding,gemini_embedding,gemini-embedding-001,Gemini Embedding,—,$0.15,—,—,—,—,—,1.25,google-genai,Newest embeddings model; stable + high rate limits
Google,Structured,gemini_structured,gemini-2.5-flash,Gemini Structured,—,—,—,—,—,—,—,1.00,google-genai,Used in structured output panel
# ── Google Vertex (25% margin; requires google_vertex pack) ───────────────
Google Vertex,Image,google_vertex,imagegeneration@006,Imagen 4 (Vertex),—,—,—,—,$0.04,per image,—,1.25,vertex-native,Vertex AI; requires GCP project
Google Vertex,Video,veo_vertex_31,veo-3.1-generate-001,Veo 3.1 (Vertex),—,—,—,—,$0.40,per second,—,1.25,vertex-native,Vertex AI; 720p/1080p $0.40/s; 4K $0.60/s
Google Vertex,Video,veo_vertex_31_fast,veo-3.1-fast-generate-001,Veo 3.1 Fast (Vertex),—,—,—,—,$0.15,per second,—,1.25,vertex-native,Vertex AI; fast mode $0.15/s; 4K $0.35/s
# ── Anthropic (25% margin; requires anthropic pack) ──────────────────────────
Anthropic,Text,claude_opus,claude-opus-4-5,Claude Opus 4.5,200K,$5.00,$25.00,$0.50,—,—,200,1.25,direct,Cache writes: $6.25/M (5m) $10.00/M (1h)
Anthropic,Text,—,claude-opus-4-6,Claude Opus 4.6,200K,$5.00,$25.00,$0.50,—,—,200,1.25,direct,Cache writes: $6.25/M (5m) $10.00/M (1h)
Anthropic,Text,claude_sonnet,claude-sonnet-4-5-20250929,Claude Sonnet 4.5,200K,$3.00,$15.00,$0.30,—,—,1000,1.25,direct,Cache writes: $3.75/M (5m) $6.00/M (1h)
Anthropic,Text,—,claude-sonnet-4-6,Claude Sonnet 4.6,200K,$3.00,$15.00,$0.30,—,—,1000,1.25,direct,Cache writes: $3.75/M (5m) $6.00/M (1h)
Anthropic,Text,—,claude-haiku-4-5-20251001,Claude Haiku 4.5,200K,$1.00,$5.00,$0.10,—,—,4000,1.25,direct,Cache writes: $1.25/M (5m) $2.00/M (1h)
# ── Mistral (25% margin; via Vertex Model Garden) ────────────────────────────
Mistral,Text,—,codestral-2,Codestral 2,256K,$0.30,$0.90,—,—,—,300,1.25,vertex-maas,Code-specialized FIM + chat; Vertex MaaS publishers/mistralai/models/codestral-2; also supports europe-west4
# ── DeepSeek (30% margin; direct + Vertex MaaS) ────────────────────────────
DeepSeek,Text,—,deepseek-reasoner,DeepSeek Reasoner,64K,$0.28,$0.42,$0.028,—,—,60,1.30,direct,
DeepSeek,Text,—,deepseek-chat,DeepSeek Chat,64K,$0.28,$0.42,$0.028,—,—,60,1.30,direct,
DeepSeek,Text,—,deepseek-ai/deepseek-v3.2-maas,DeepSeek V3.2 (Vertex),64K,$0.28,$0.42,—,—,—,60,1.30,vertex-maas,DeepSeek V3.2 via Vertex MaaS; Chat Completions compatible
# ── Qwen ──────────────────────────────────────────────────────────────────
Qwen,Text,—,qwen/qwen3-coder-480b-a35b-instruct-maas,Qwen3 Coder,256K,$0.30,$0.60,—,—,—,60,1.25,vertex-maas,480B MoE (35B active); agentic coding; 256K context (1M extended); Vertex MaaS
Qwen,Text,—,qwen3.5-35b,Qwen 3.5 35B,256K,$0.10,$0.30,—,—,—,—,1.25,vertex-dedicated,Self-hosted MoE (35B total 3B active); reasoning with <think> blocks; 256K context
# ── Z.ai ───────────────────────────────────────────────────────────────────
Z.ai,Text,—,zai-org/glm-5-maas,GLM-5,200K,$1.00,$3.20,—,—,—,60,1.30,vertex-maas,744B MoE (40B active); reasoning + agentic coding; Vertex MaaS; 128K max output
DeepSeek,Vision,deepseek_ocr,deepseek-ai/deepseek-ocr-maas,DeepSeek OCR,64K,$0.28,$0.42,—,—,—,60,1.30,vertex-maas,Vision OCR model; Vertex MaaS global endpoint; accepts images in messages
# ── Vertex RAG (flat per-query rate) ──────────────────────────────────────
Google Vertex,RAG,vertex_rag,vertex-rag-retrieve,Vertex RAG Retrieve,—,—,—,—,$0.002,per query,—,1.25,vertex-native,Flat per-query rate for Vertex AI RAG retrieveContexts
# ── ElevenLabs (25% margin; direct API) ──────────────────────────────────────
ElevenLabs,TTS,eleven_multilingual_v2,eleven_multilingual_v2,Multilingual v2,—,—,—,—,$0.30,per 1K chars,—,1.25,direct,Standard quality; 29 languages
ElevenLabs,TTS,eleven_turbo_v2_5,eleven_turbo_v2_5,Turbo v2.5,—,—,—,—,$0.15,per 1K chars,—,1.25,direct,Low latency; English optimized
ElevenLabs,TTS,eleven_flash_v2_5,eleven_flash_v2_5,Flash v2.5,—,—,—,—,$0.08,per 1K chars,—,1.25,direct,Fastest; lowest cost
ElevenLabs,TTS,eleven_v3,eleven_v3,ElevenLabs v3,—,—,—,—,$0.30,per 1K chars,—,1.25,direct,Latest model
ElevenLabs,STT,eleven_scribe_v2,scribe_v2,Scribe v2,—,—,—,—,$0.50,per hour,—,1.25,direct,99 languages; speaker diarization
ElevenLabs,Audio,eleven_sfx_v2,eleven_sfx_v2,Sound Effects v2,—,—,—,—,$0.04,per generation,—,1.25,direct,Prompt → sound effect
ElevenLabs,Music,eleven_music_v1,eleven_music_v1,Music v1,—,—,—,—,$0.04,per generation,—,1.25,direct,Prompt → music clip
# ── Meshy (25% margin; direct API) ──────────────────────────────────────────
Meshy,3D,meshy_6,meshy-6,Meshy 6,—,—,—,—,$0.20,per generation,—,1.25,direct,Text-to-3D preview; GLB/FBX/OBJ/USDZ
Meshy,3D,meshy_5,meshy-5,Meshy 5,—,—,—,—,$0.20,per generation,—,1.25,direct,Legacy model
Meshy,3D,meshy_refine,meshy-6-refine,Meshy 6 Refine,—,—,—,—,$0.50,per generation,—,1.25,direct,High-quality refinement pass
Meshy,3D,meshy_image_to_3d,meshy-image-to-3d,Image-to-3D,—,—,—,—,$0.20,per generation,—,1.25,direct,Image → 3D model
Meshy,3D,meshy_texture,meshy-texture,Text-to-Texture,—,—,—,—,$0.20,per generation,—,1.25,direct,Texture generation for 3D models
Meshy,3D,meshy_remesh,meshy-remesh,Remesh,—,—,—,—,$0.10,per generation,—,1.25,direct,Polygon reduction/optimization
# ── HeyGen (25% margin; direct API) ──────────────────────────────────────────
HeyGen,Video,heygen_agent,heygen-video-agent,Video Agent,—,—,—,—,$0.10,per second,—,1.25,direct,Prompt → talking head video
HeyGen,Video,heygen_studio,heygen-studio-v2,Studio Video v2,—,—,—,—,$0.10,per second,—,1.25,direct,Avatar + script → video
HeyGen,Video,heygen_template,heygen-template,Template Video,—,—,—,—,$0.05,per second,—,1.25,direct,Template-based generation
# ── Z.ai / Zhipu (30% margin; direct API + Vertex MaaS) ──────────────────
Z.ai,Text,zai_glm5,glm-5,GLM-5,200K,$1.00,$3.20,—,—,—,60,1.30,direct,744B MoE (40B active); reasoning + agentic; 128K max output
Z.ai,Text,zai_glm5_turbo,glm-5-turbo,GLM-5 Turbo,200K,$0.50,$1.60,—,—,—,120,1.30,direct,Fast variant of GLM-5
Z.ai,Text,zai_glm47,glm-4.7,GLM-4.7,128K,$0.50,$1.60,—,—,—,120,1.30,direct,Latest 4.x; improved reasoning
Z.ai,Text,zai_glm46,glm-4.6,GLM-4.6,128K,$0.35,$1.12,—,—,—,120,1.30,direct,Deep thinking support
Z.ai,Text,zai_glm4_32b,glm-4-32b-0414-128k,GLM-4-32B,128K,$0.14,$0.14,—,—,—,60,1.30,direct,32B open weights
Z.ai,Vision,zai_glm46v,glm-4.6v,GLM-4.6V,128K,$0.35,$1.12,—,—,—,60,1.30,direct,Image + video understanding
Z.ai,Vision,zai_glm_ocr,glm-ocr,GLM-OCR,—,—,—,—,$0.01,per page,60,1.30,direct,Document + image OCR; layout parsing
Z.ai,STT,zai_glm_asr,glm-asr-2512,GLM-ASR-2512,—,—,—,—,$0.36,per hour,60,1.30,direct,Multilingual speech recognition; streaming
Z.ai,Embedding,zai_embedding_3,embedding-3,Embedding-3,8K,$0.07,—,—,—,—,300,1.30,direct,2048 dimensions
Z.ai,Image,zai_cogview_4,cogview-4,CogView-4,—,—,—,—,$0.04,per image,60,1.30,direct,Text-to-image
Z.ai,Image,zai_cogview_4_plus,cogview-4-plus,CogView-4-Plus,—,—,—,—,$0.07,per image,30,1.30,direct,Higher quality
Z.ai,Image,zai_glm_image,glm-image,GLM-Image,—,—,—,—,$0.07,per image,30,1.30,direct,Async image generation
Z.ai,Video,zai_cogvideox3,cogvideox-3,CogVideoX-3,—,—,—,—,$0.10,per second,10,1.30,direct,Text/image → video
Z.ai,Video,zai_vidu2,vidu-2,Vidu 2,—,—,—,—,$0.08,per second,10,1.30,direct,Video generation
Z.ai,Video,zai_viduq1,vidu-q1,Vidu Q1,—,—,—,—,$0.05,per second,10,1.30,direct,Budget video generation
